Dataset,Modelo,R2,RMSE,MSE,MAE,Train_R2,Tiempo_s,Alignment
Materiales,Clasico,0.40110107015704877,0.6531089320971571,0.426551277185089,0.518887623167074,0.8964531501870872,0.0024290084838867188,
Materiales,QSVR_Noiseless,0.26782716544472496,0.7221304538062839,0.5214723923144696,0.6087275264825978,0.4235246625943001,0.14572644233703613,0.8592295814065782
